epoch,accuracy,average_precision,loss,val_accuracy,val_average_precision,val_loss
0,0.8183477,0.6027538,0.48549425517192146,0.83094877,0.6432192,0.4331959651177188
1,0.82779753,0.64137006,0.4206293481820358,0.8000753,0.54676855,0.41987318554556513
2,0.8301366,0.65496796,0.39511669663612,0.8403614,0.6551266,0.3751665878008647
3,0.8350019,0.667944,0.381606077831127,0.84563255,0.6847425,0.363544297326042
4,0.8367796,0.6762904,0.37094012052266895,0.81664157,0.5757853,0.3795017339738019
5,0.8369667,0.67504364,0.36672632264609106,0.84111446,0.68049634,0.3662330502846155
6,0.8425337,0.6929336,0.35962005519492185,0.83659637,0.7004445,0.36123899953911104
7,0.84258044,0.6978331,0.35688951769899463,0.83207834,0.6331206,0.36655575826943637
8,0.8437968,0.70110077,0.3519148785330935,0.8501506,0.73529357,0.3457106468548258
9,0.8457616,0.7150092,0.3484835285180343,0.82868975,0.6009135,0.37512174140976134
